,root,searchables,liv: cross-reference,additional searchables based off of LIV and wiktionary,wiktionary link
400,4. dʰer- : dʰor- : dʰ<sub>e</sub>r-,dʰer : dʰor : dʰer,*dʰerh₃-,,
401,"5. dʰer-, dʰrei-d-",dʰer dʰrei dʰreid,?*dʰrei̯d-{1},,
402,dʰerāgʰ-,dʰerāgʰ,*dʰregʰ/g̑ʰ-{0},dʰreg(')ʰ-,
403,"dʰerbʰ-, dʰerəbʰ-?",dʰerbʰ dʰerəbʰ dʰerəbʰ?,"?*derbʰ-{1}, *(s)dʰerbʰ-{1}",,
404,dʰerebʰ-,dʰerebʰ,*dʰrebʰ-,dʰrebʰ-,
405,dʰeregʰ-,dʰeregʰ,,,
406,"dʰereǵʰ-, dʰr̥ǵʰ-nā-",dʰereǵʰ dʰr̥ǵʰ dʰr̥ǵʰnā,"*dʰerg̑ʰ-, *TerKh₂-{1}","dʰerg̑ʰ-, TerKh₂-",
407,dʰers-,dʰers,*dʰers-,dʰers-,
408,"dʰēs-, dʰəs-",dʰēs dʰəs,,,
409,1. dʰeu-,dʰeu,*dʰeu̯-,dʰeu̯-,
410,"2. dʰeu-, dʰu̯-ēi-",dʰeu dʰu̯ dʰu̯ēi,,,
411,3. dʰeu-,dʰeu,,,
412,"4. dʰeu-, dʰeu̯ə-, presumably dʰu̯ē-, compare suffixes dʰu̯ē-k-, dʰu̯ē̆-s-",dʰeu dʰeu̯ə dʰu̯ē dʰu̯ē dʰu̯ēk dʰu̯ē̆ dʰu̯ē̆s,"*dʰeu̯H-, *dʰeu̯-, *dʰu̯eh₂-{1}, ?*dʰeu̯dʰ-{1}, *dʰu̯enH-{1}","dʰeu̯H-, dʰeu̯-, dʰu̯eh₂-, dʰeu̯dʰ-, dʰu̯enH-",
413,"dʰeu-b-, dʰeu-p-",dʰeu dʰeub dʰeu dʰeup,,,
414,"dʰeubʰ-, dʰubʰ-",dʰeubʰ dʰubʰ,,,
415,"dʰeu̯es-, dʰu̯ē̆s-, dʰeus-, dʰū̆s-",dʰeu̯es dʰu̯ē̆s dʰeus dʰū̆s,"*dʰu̯es-{1}, *dʰu̯ens-{1}","dʰu̯es-, dʰu̯ens-",
416,dʰeugʰ-,dʰeugʰ,*dʰeu̯gʰ-,dʰeu̯gʰ-,
417,"dʰlas-, or dʰels- : dʰl̥s-",dʰlas or dʰels : dʰl̥s,,,
418,dʰl̥gʰ-,dʰl̥gʰ,,,
419,dʰō-,dʰō,,,
420,dʰō[u]- : dʰū-,dʰō[u] : dʰū,,,
421,dʰrebʰ-,dʰrebʰ,?*dʰreb-{1},dʰreb-,
422,dʰreǵ-,dʰreǵ,,,
423,1. dʰregʰ-,dʰregʰ,"*dʰreh₂gʰ-, *dʰregʰ/g̑ʰ-{0}","dʰreh₂gʰ-, dʰreg(')ʰ-",
424,2. dʰregʰ-,dʰregʰ,,,
425,dʰreibʰ-,dʰreibʰ,?*dʰrei̯bʰ-{1},dʰrei̯bʰ-,
426,dʰreu-,dʰreu,"?*dʰreu̯s-, ?*dʰreu̯b-{1}, *dʰreu̯bʰ-{1}","dʰreu̯s-, dʰreu̯b-, dʰreu̯bʰ-",
427,1. dʰreugʰ-,dʰreugʰ,,,
428,2. dʰreugʰ-,dʰreugʰ,1.*dʰreu̯gʰ-{1},dʰreu̯gʰ-,
429,"dʰrigʰ-, or dʰreikʰ-",dʰrigʰ or dʰreikʰ,,,
430,dʰrono-,dʰrono,,,
431,dʰug(ʰ)əter-,dʰugəter dʰugʰəter,,,
432,"dʰu̯en-, dʰun-",dʰu̯en dʰun,*dʰu̯en-,dʰu̯en-,
433,"dʰu̯er-, dʰu̯erə-",dʰu̯er dʰu̯erə,"?*dʰu̯er-{1}, 2.*dʰreu̯-{1}","dʰu̯er-, dʰreu̯-",
434,"dʰu̯ē̆r-, dʰu̯ō̆r-, dʰur-, dʰu̯r̥-",dʰu̯ē̆r dʰu̯ō̆r dʰur dʰu̯r̥,,,
435,dʰu̯ergʰ- : drugʰ-,dʰu̯ergʰ : drugʰ,,,
436,"1. ē̆, ō̆",ē̆ ō̆,,,
437,"2. ē, ō",ē ō,,,
438,"3. e-, ei-, i-, fem. ī-",e ei i ī,,,
439,ebʰi? : obʰi : bʰi,ebʰi? : obʰi : bʰi,,,
440,ed-,ed,*h₁ed-,h₁ed-,
441,1. edʰ-,edʰ,,,
442,2. edʰ-,edʰ,,,
443,eg-,eg,?*h₁eg/g̑H-{1},h₁eg(')H-,
444,"ēǵ-, ōǵ-, əǵ-",ēǵ ōǵ əǵ,2.*h₂eg̑-{1},h₂eg̑-,
445,"eǵ-, eǵ(ʰ)om, eǵō",eǵ eǵom eǵʰom eǵō,,,
446,eǵʰero-,eǵʰero,,,
447,eǵʰi-,eǵʰi,,,
448,"eǵʰs, eǵʰz",eǵʰs eǵʰz,,,
449,egnis : ognis,egnis : ognis,,,
450,"eʰem, eʰeu, eʰo",eʰem eʰeu eʰo,,,
451,1. ei-,ei,"*h₁ei̯-, ?*h₃ei̯t-{1}, ?*h₃ei̯gʰ-{1}, 1.*i̯eh₂-{0}","h₁ei̯-, h₃ei̯t-, h₃ei̯gʰ-, i̯eh₂-",
452,2. ē̆i,ē̆i,,,
453,3. ei-,ei,,,
454,4. ei- : oi-,ei : oi,,,
455,"eibʰ- : oibʰ-, i̯ebʰ-",eibʰ : oibʰ i̯ebʰ,*i̯ebʰ-{0},i̯ebʰ-,
456,"eig-, oig-",eig oig,,,
457,ēik-,ēik,*Hei̯k̑-{1},Hei̯k̑-,
458,1. eis-,eis,*h₁ei̯sh₂-{1},h₁ei̯sh₂-,
459,"2. ei-s-, ei-n-",ei eis ei ein,,,
460,eḱu̯o-s,eḱu̯o eḱu̯os,,,
461,"1. el-, ol-, <sub>e</sub>l-",el ol el,,,
462,2. el-,el,,,
463,3. el- : ol-,el : ol,,,
464,"4. el-, ol-",el ol,,,
465,"5. el-, ol-",el ol,,,
466,"6. el-, elə- : lā-, el-eu-(dʰ-)",el elə : lā el eleu eleu el eleu eleudʰ eleudʰ,"?*h₁elh₂-{1}, *h₁leu̯dʰ-{1}","h₁elh₂-, h₁leu̯dʰ-",
467,"7. el-, elə-, witʰ k-suffix elk-, elək-",el elə witʰ k ksuffix elk elək,?*h₁elk-{1},h₁elk-,
468,"8. el-, elē̆i-, lē̆i-, olī̆nā",el elē̆i lē̆i olī̆nā,,,
469,ēl-,ēl,,,
470,ēlā,ēlā,,,
471,elg-,elg,,,
472,"elk-, elək-",elk elək,,,
473,elkos-,elkos,,,
474,em-,em,*h₁em-,h₁em-,
475,"embʰi-, empi-",embʰi empi,,,
476,1. en,en,,,
477,2. en-,en,,,
478,ēn,ēn,,,
479,"1. enebʰ-, embʰ-, ombʰ-, nō̆bʰ-, nēbʰ-?, m̥bʰ-",enebʰ embʰ ombʰ nō̆bʰ nēbʰ nēbʰ? m̥bʰ,,,
480,"2. enebʰ- : nebʰ-, embʰ-, m̥bʰ-",enebʰ : nebʰ embʰ m̥bʰ,1.*nebʰ-{1},nebʰ-,
481,"eneḱ-, neḱ-, enḱ-, n̥ḱ-",eneḱ neḱ enḱ n̥ḱ,"*h₂nek̑-{1}, *h₁nek̑-","h₁nek̑-, h₂nek̑-",
482,"ē̆neu, ē̆nu",ē̆neu ē̆nu,,,
483,"e-neu̯en, neu̯n̥, enu̯n̥",e eneu̯en neu̯n̥ enu̯n̥,,,
484,"engʷ-, n̥gʷḗn",engʷ n̥gʷḗn,,,
485,"eno-, possibly e-no- : ono- : no- : -ne-",eno e eno : ono : no : ne,,,
486,"en(o)mn̥-, (o)nomn̥, nōmn̥",enmn̥ enomn̥ nomn̥ onomn̥ nōmn̥,,,
487,"enos-, or onos-",enos or onos,,,
488,"enq-, onq-",enq onq,,,
489,"ent-, better ant-?",ent ant ant?,?*h₂ent-{1},h₂ent-,
490,epero-,epero,,,
491,"epi, opi, pi",epi opi pi,,,
492,ēpi-,ēpi,,,
493,"epop, opop",epop opop,,,
494,epʰ-,epʰ,,,
495,"1. er-, or-",er or,,,
496,"2. er-, eri-",er eri,,,
497,3. er- : or- : r-,er : or : r,"*h₁er-{1}, *h₃er-{1}, *h₁erg̑ʰ-{1}, *Herd-, *h₃rei̯H-{1}","h₁er-, h₃er-, h₁erg̑ʰ-, Herd-, h₃rei̯H-",
498,"4. er-, er-t-, er-u̯-",er er ert er eru̯,,,
499,"5. er-, erə-, tʰematic (e)r-ĕ-",er erə tʰematic r rĕ er erĕ,*h₂erH-{1},h₂erH-,
500,"ereb-, orob-, rōb-",ereb orob rōb,,,
501,"ē̆reb(ʰ)-, ō̆rob(ʰ)-",ē̆reb ē̆rebʰ ō̆rob ō̆robʰ,,,
502,ered-,ered,,,
503,"eregʷ(ʰ)o-, erogʷ(ʰ)o-",eregʷo eregʷʰo erogʷo erogʷʰo,,,
504,"1. erek-, er[e]gʰ-",erek er[e]gʰ,,,
505,"2. er(e)k-, rek-, rok-",erk erek rek rok,,,
506,1. eres-,eres,*Hers-{1},Hers-,
507,"2. ere-s-, <sub>e</sub>rs-, r̥s-, <sub>e</sub>res-, and rē̆s-, rō̆s-",ere eres ers r̥s eres rē̆s rō̆s,"*h₁ers-, ?*(h₁)reh₁s-{1},  *h₁erH-{1}","h₁ers-, (h₁)reh₁s-, h₁erH-",
508,1. ereu-,ereu,1.*h₁reh₁-{1},h₁reh₁-,
509,2. ereu-,ereu,,,
510,"1. erə-, rē-, er(e)-",erə rē er ere,2.*h₁reh₁-{1},,
511,"2. erə-, rē-",erə rē,,,
512,"er(ə)d-, (<sub>e</sub>r(ə)d-), er(ə)dʰ-",erd erəd d d) er(əd er(əd) erdʰ erədʰ,,,
513,ergʰ-,ergʰ,,,
514,erkʷ-,erkʷ,*h₁erkʷ-{1},h₁erkʷ-,
515,ers- : orsos,ers : orsos,,,
516,es-,es,1.*h₁es-{1},h₁es-,
517,esu-s : su-,esu esus : su,,,
518,ē̆s-,ē̆s,*h₁eh₁s0-,h₁eh₁s-,
519,"es-en-, os-en-",es esen os osen,,,
520,"ē̆s-r̥(gʷ), genitive <sub>e</sub>s-n-és",ē̆s ē̆sr̥ ē̆s ē̆sr̥gʷ es esn esnés,,,
521,et(e)n-,etn eten,,,
522,ēter-,ēter,,,
523,eti,eti,,,
524,ētī-,ētī,,,
525,ēt-mén-,ēt ētmén,,,
526,ētro-,ētro,,,
527,"1. eu-, euə- : u̯ā-, u̯ə-",eu euə : u̯ā u̯ə,*h₁u̯eh₂-{0} ,h₁u̯eh₂-,
528,2. eu-,eu,*h₂eu̯H-{1},h₂eu̯H-,
529,3. eu-,eu,"?*i̯eu̯t-{1}, *u̯et-","i̯eu̯t-, u̯et-",
530,4. eu-,eu,,,
531,"ēudʰ-, ōudʰ-, ūdʰ-",ēudʰ ōudʰ ūdʰ,,,
532,euk-,euk,*h₁eu̯k-,h₁eu̯k-,
533,eus-,eus,*h₁eu̯s-,h₁eu̯s-,
534,eu̯egʷʰ-,eu̯egʷʰ,*h₁u̯egʷʰ-,h₁u̯egʷʰ-,
535,ǵā̆b-,ǵā̆b,,,
536,"gag-, gōg-",gag gōg,,,
537,1. gal-,gal,,,
538,2. gal-,gal,?*g(ʷ)eRg̑ʰ-{1},g(ʷ)eRg̑ʰ-,
539,"3. gal-, or gʰal-",gal or gʰal,*gelH0-,gelH-,
540,gan(dʰ)-,gan gandʰ,,,
541,gang-,gang,,,
542,ǵā̆r-,ǵā̆r,*g̑ar-{1},g̑ar-,
543,garəǵ-,garəǵ,,,
544,gāu-,gāu,"*g/g̑eh₂dʰ-{1}, *g/g̑eh₂u̯-{1}","g(')eh₂dʰ-, g(')eh₂u̯-",
545,ǵebʰ-,ǵebʰ,,,
546,"ǵegʰ-, ǵogʰ-",ǵegʰ ǵogʰ,,,
547,gei-,gei,*g/g̑ei̯s-{1},g(')ei̯s-,
548,gē(i)- : gō(i)- : gī-,gē gēi : gō gōi : gī,*g(ʷ)eH(i̯)-{1},g(ʷ)eH(i̯)-,
549,"ǵēi-, ǵī-",ǵēi ǵī,*g̑ei̯H-{1},g̑ei̯H-,
550,geid-,geid,,,
551,ǵeid-,ǵeid,,,
552,geiǵ-,geiǵ,,,
553,ǵeis-,ǵeis,,,
554,1. gel-,gel,"*glei̯H-{1}, ?*glei̯bʰ-{1}","glei̯H-, glei̯bʰ-",
555,"2. gel-, and gʷel-",gel gʷel,"?*gʷʰel-{1}, 1.*gu̯el-{1}","gʷʰel-, gu̯el-",
556,3. gel(ə)-,gel gelə,*g/g̑el-{1},g(')el-,
557,"ǵel-, ǵelə-, ǵlē-, also *gelēi- : ǵ(e)ləi-",ǵel ǵelə ǵlē *gelēi : ǵləi ǵeləi,*g̑elh₂-{1},g̑elh₂-,
558,gelebʰ-,gelebʰ,,,
559,"g<sub>e</sub>li-, glī-",geli glī,,,
560,ǵ(<sub>e</sub>)lōu̯-,ǵlōu̯ ǵelōu̯,,,
561,gem-,gem,*gem-,gem-,
562,"ǵembʰ-, ǵm̥bʰ-, ǵombʰos",ǵembʰ ǵm̥bʰ ǵombʰos,*g̑embʰ-,g̑embʰ-,
563,ǵem(e)-,ǵem ǵeme,,,
564,gen-,gen,?*gnet-{1},gnet-,
565,"1. ǵen-, ǵenə-, ǵnē-, ǵnō-",ǵen ǵenə ǵnē ǵnō,*g̑enh₁-{1},g̑enh₁-,
566,"2. ǵen-, ǵenə-, ǵnē-, ǵnō-",ǵen ǵenə ǵnē ǵnō,*g̑neh₃-,g̑neh₃-,
567,"genebʰ-, genobʰ-",genebʰ genobʰ,,,
568,"geng-, gong-",geng gong,,,
569,gengʰ-,gengʰ,,,
570,"1. ǵenu-, ǵneu-",ǵenu ǵneu,,,
571,"2. ǵenu-, fem., ǵenədʰ- : ǵonədʰ-",ǵenu ǵenədʰ : ǵonədʰ,,,
572,"ǵep(ʰ)-, ǵebʰ-",ǵep ǵepʰ ǵebʰ,?*g̑ebʰ-{1},g̑ebʰ-,
573,"1. ger-, gere-",ger gere,?*h₂g/g̑er-{1},*h₂g(')er-,
574,2. ger-,ger,?*gʷrem-{1},,
575,3. ger-,ger,"?*greng̑ʰ-{1}, ?*g(ʷ)renth₂-{1}","greng̑ʰ-, g(ʷ)renth₂-",
576,"4. ger-, grēi-",ger grēi,*h₁ger-{1},h₁ger-,
577,"ǵer-, ǵerə-, ǵrē-",ǵer ǵerə ǵrē,*g̑erh₂-,g̑erh₂-,
578,gerebʰ-,gerebʰ,*gerbʰ-,,
579,ǵers-,ǵers,,,
580,"gēu-, gəu-, gū-",gēu gəu gū,,,
581,"ǵeu-, ǵeu̯ə-, also geu̯ə-",ǵeu ǵeu̯ə geu̯ə,?*g̑eu̯H-{1},g̑eu̯H-,
582,g(e)u-lo-,gu gulo geu geulo,,,
583,ǵeus-,ǵeus,*g̑eu̯s-,g̑eu̯s-,
584,"g(i̯)eu-, ǵ(i̯)eu-",geu gi̯eu ǵeu ǵi̯eu,*g̑i̯eu̯H-{1},g̑i̯eu̯H-,
585,"glag-, or glak-",glag or glak,,,
586,gleǵ-,gleǵ,,,
587,ǵlei-,ǵlei,?*g̑rei̯-{1},g̑rei̯-,
588,gleubʰ-,gleubʰ,,,
589,glōgʰ- : gləgʰ-,glōgʰ : gləgʰ,,,
590,"1. gol-, lengtʰened grade gōl-, reduced grade g<sub>o</sub>l-",gol lengtʰened gōl gol,?2.*gu̯el-{1},gu̯el-,
591,2. gol-,gol,,,
592,"gō̆u-, gou̯ə-, gū-",gō̆u gou̯ə gū,*geu̯h₂-{1},geu̯h₂-,
593,"gou̯ə-, or gau̯ə-? : gū-",gou̯ə or gau̯ə gau̯ə? : gū,"?*g(ʷ)eu̯-{1}, ?*g(ʷ)eu̯H-{1}","g(ʷ)eu̯-, g(ʷ)eu̯H-",
594,gras- : grō̆s-,gras : grō̆s,*gres-{1},gres-,
595,grēb(ʰ)o-s : grōb(ʰ)o-s,grēbo grēbos grēbʰo grēbʰos : grōbo grōbos grōbʰo grōbʰos,,,
596,gred- : grod-,gred : grod,,,
597,grem-,grem,,,
598,1. greus-,greus,,,
599,2. greus-,greus,,,
600,greut-,greut,,,
601,"grōd-, grəd-",grōd grəd,,,
602,gru-,gru,,,
603,"gʰa gʰa, gʰe gʰe, gʰi gʰi",gʰa gʰa gʰe gʰe gʰi gʰi,,,
604,gʰabʰ-,gʰabʰ,"*gʰebʰ-{1}, ?*g/g̑ʰeHb-{1}","gʰebʰ-, g(')ʰeHb-",
605,"gʰabʰ(o)lo-, masc., gʰabʰ(o)lā fem.",gʰabʰlo gʰabʰolo gʰabʰlā gʰabʰolā,,,
606,ǵʰāgʷʰ-,ǵʰāgʷʰ,,,
607,"gʰaido-, or ǵʰaido-",gʰaido or ǵʰaido,,,
608,gʰais-,gʰais,,,
609,"ǵʰaiso-, or ǵʰəiso- : ǵʰēiso-",ǵʰaiso or ǵʰəiso : ǵʰēiso,,,
610,gʰait-ā,gʰait gʰaitā,,,
611,"ǵʰal-, ǵʰal-ar-",ǵʰal ǵʰal ǵʰalar,,,
612,ǵʰalg(ʰ)-,ǵʰalg ǵʰalgʰ,,,
613,ǵʰan-,ǵʰan,*g/g̑ʰan-{1},g(')ʰan-,
614,ǵʰan-s-,ǵʰan ǵʰans,,,
615,"1. ǵʰasto-, ǵʰazdʰo-",ǵʰasto ǵʰazdʰo,,,
616,2. ǵʰasto-,ǵʰasto,,,
617,"ǵʰau-, ǵʰau̯ə-",ǵʰau ǵʰau̯ə,*g̑ʰu̯eH-{1},*g̑ʰu̯eH-,
618,gʰau̯o-,gʰau̯o,,,
619,"ǵʰðem-, ǵʰðom-, genitive-ablative ǵʰ(ð)m-és",ǵʰðem ǵʰðom ǵʰm ǵʰmés ǵʰðm ǵʰðmés,,,
620,"ǵʰði̯és, zero-grade ǵʰðis, simplified to ǵʰðés, ǵʰi̯és, ǵʰés",ǵʰði̯és zero zerograde ǵʰðis to ǵʰðés ǵʰi̯és ǵʰés,,,
621,"ǵʰðū-, or ǵʰi̯ū-?",ǵʰðū or ǵʰi̯ū ǵʰi̯ū?,,,
622,"gʰe-, gʰo-",gʰe gʰo,,,
623,"1. ǵʰē-, ǵʰēi-",ǵʰē ǵʰēi,"*gʰeh₁-, ?*g̑ʰeH-{1}, *g̑ʰeh₁-{1}","gʰeh₁-, g̑ʰeH-, g̑ʰeh₁-",
624,"2. ǵʰē- : gʰə-, and ǵʰēi- : ǵʰī-",ǵʰē : gʰə ǵʰēi : ǵʰī,*g̑ʰeh₁i̯-{1},g̑ʰeh₁i̯-,
625,"gʰebʰ-el-, gʰebʰ-<sub>e</sub>l-, gʰebʰ-elo-",gʰebʰ gʰebʰel gʰebʰ gʰebʰel gʰebʰ gʰebʰelo,,,
626,gʰed-,gʰed,*g̑ʰed-{1},g̑ʰed-,
627,"gʰedʰ-, gʰodʰ-",gʰedʰ gʰodʰ,?*gʰedʰ-{1},gʰedʰ-,
628,gʰegʰ-,gʰegʰ,,,
629,ǵ(ʰ)eǵʰ-,ǵeǵʰ ǵʰeǵʰ,,,
630,"1. ǵʰei-, ǵʰēi-",ǵʰei ǵʰēi,"?*g̑ʰei̯-{1}, *g̑ʰei̯s-{1}","g̑ʰei̯-, g̑ʰei̯s-",
631,2. ǵʰei- : ǵʰi-,ǵʰei : ǵʰi,,,
632,gʰeidʰ-,gʰeidʰ,?*gʰei̯dʰ-{1},gʰei̯dʰ-,
633,gʰeiǵʰ-,gʰeiǵʰ,?*g/g̑ʰei̯g/g̑ʰ-{0},g(')ʰei̯g(')ʰ-,
634,"gʰeis-, and ǵʰeiz-d-",gʰeis ǵʰeiz ǵʰeizd,"*g̑ʰei̯s-{1}, *g̑ʰei̯sd-{1}","g̑ʰei̯s-, g̑ʰei̯sd-",
635,gʰel-,gʰel,,,
636,"1. ǵʰel-, and gʰel-?, also as i-, u-, or n-stem; ǵʰelə-, ǵʰlē-, ǵʰlō-, ǵʰlə-",ǵʰel gʰel gʰel? as i u or n nstem; ǵʰelə ǵʰlē ǵʰlō ǵʰlə,*gʰlendʰ-{1},gʰlendʰ-,
637,2. ǵʰel-,ǵʰel,,,
638,ǵʰēlā,ǵʰēlā,,,
639,gʰeldʰ-,gʰeldʰ,*g(ʷ)eldʰ-{1},g(ʷ)eldʰ-,
640,gʰel(ē̆)ǵʰ-,gʰelǵʰ gʰelē̆ǵʰ,,,
641,gʰeləd-,gʰeləd,,,
642,gʰelǵʰ-,gʰelǵʰ,,,
643,"gʰel-ond-, gʰol-n̥d-",gʰel gʰelond gʰol gʰoln̥d,,,
644,"gʰel-ōu-, gʰelū-",gʰel gʰelōu gʰelū,,,
645,"gʰel-tō, Germanic and gʰel-dʰō Slavic",gʰel gʰeltō Germanic gʰel gʰeldʰō Slavic,?*gʰeldʰ-{1},gʰeldʰ-,
646,gʰelunā,gʰelunā,,,
647,gʰen-,gʰen,,,
648,"gʰend-, and gʰed-",gʰend gʰed,*gʰed-{1},gʰed-,
649,"gʰendʰ-, gʰ<sub>o</sub>ndʰ-",gʰendʰ gʰondʰ,,,
650,ǵʰengʰ-,ǵʰengʰ,*g̑ʰengʰ-{1},g̑ʰengʰ-,
651,1. gʰer-,gʰer,?*g/g̑ʰreh₁d-{1},g(')ʰreh₁d-,
652,2. gʰer-,gʰer,,,
653,"3. gʰer-, gʰrē- : gʰrō- : gʰrə-",gʰer gʰrē : gʰrō : gʰrə,,,
654,1. ǵʰer-,ǵʰer,1.*g̑ʰer-{1},g̑ʰer-,
655,2. ǵʰer-,ǵʰer,,,
656,"3. ǵʰer-, and ǵʰerə-, ǵʰrē-",ǵʰer ǵʰerə ǵʰrē,?3.*g̑ʰer-{1},g̑ʰer-,
657,4. ǵʰer-,ǵʰer,?2.*g̑ʰer-{1},g̑ʰer-,
658,"5. ǵʰer-, ǵʰor-nā",ǵʰer ǵʰor ǵʰornā,,,
659,"6. ǵʰer-, ǵʰerə- : ǵʰrē-?",ǵʰer ǵʰerə : ǵʰrē ǵʰrē?,,,
660,7. ǵʰer-,ǵʰer,,,
661,"ǵʰerdʰ-, and gʰerdʰ-",ǵʰerdʰ gʰerdʰ,*gʰerdʰ-{1},gʰerdʰ-,
662,"1. gʰers-, gʰres-",gʰers gʰres,,,
663,2. gʰers-,gʰers,,,
664,ǵʰers-,ǵʰers,"*g̑ʰers-{1}, ?*g(ʷ)ʰers-{1}","g̑ʰers-, g(ʷ)ʰers-",
665,gʰerto-,gʰerto,,,
666,"ǵʰerzd(ʰ), genitive ǵʰr̥zd(ʰ)-es, ǵʰerzdā",ǵʰerzd ǵʰerzdʰ ǵʰr̥zd ǵʰr̥zdes ǵʰr̥zdʰ ǵʰr̥zdʰes ǵʰerzdā,,,
667,ǵʰéslo-,ǵʰéslo,,,
668,"ǵʰesor-, ǵʰesr-",ǵʰesor ǵʰesr,,,
669,ǵʰesto-,ǵʰesto,,,
670,1. ǵʰeu-,ǵʰeu,"*g̑ʰeu̯-, ?*g̑ʰeu̯d-{1}","g̑ʰeu̯-, g̑ʰeu̯d-",
671,"2. ǵʰeu-, ǵʰeu-d-",ǵʰeu ǵʰeu ǵʰeud,,,
672,ǵʰēu- : ǵʰō(u)- : ǵʰəu-,ǵʰēu : ǵʰō ǵʰōu : ǵʰəu,,,
673,gʰeub(ʰ)-,gʰeub gʰeubʰ,?*g(ʷ)eu̯bʰ-{1},g(ʷ)eu̯bʰ-,
674,"gʰeuǵʰ-, gʰū̆ǵʰ-",gʰeuǵʰ gʰū̆ǵʰ,?*g(ʷ)ʰeu̯g̑ʰ-{1},g(ʷ)ʰeu̯g̑ʰ-,
675,"gʰeu̯ei̯ā, ǵʰeu̯ei̯ā",gʰeu̯ei̯ā ǵʰeu̯ei̯ā,,,
676,gʰlādʰ-,gʰlādʰ,,,
677,ǵʰlād-,ǵʰlād,,,
678,gʰleu-,gʰleu,,,
679,ǵʰō,ǵʰō,,,
680,gʰoilo-s,gʰoilo gʰoilos,,,
681,gʰom-,gʰom,,,
682,gʰō̆s-,gʰō̆s,?1.*g(ʷ)ʰes-{1},g(ʷ)ʰes-,
683,gʰosti-s,gʰosti gʰostis,,,
684,gʰou̯(ē)-,gʰou̯ gʰou̯ē,,,
685,gʰou-ro-s,gʰou gʰouro gʰouros,,,
686,gʰous-,gʰous,?*g(ʷ)ʰeu̯s-,g(ʷ)ʰeu̯s-,
687,gʰrē- : gʰrō- : gʰrə-,gʰrē : gʰrō : gʰrə,,,
688,"1. gʰrebʰ-, gʰerbʰ-, root extension gʰrebʰā-",gʰrebʰ gʰerbʰ gʰrebʰā,*gʰrebh₂-{1},gʰrebh₂-,
689,2. gʰrebʰ-,gʰrebʰ,?*gʰrebʰ-{1},gʰrebʰ-,
690,gʰredʰ-,gʰredʰ,?*gʰrei̯dʰ-{1},gʰrei̯dʰ-,
691,"gʰrēi- : gʰrəi- : gʰrī-, and lit. gʰrei-",gʰrēi : gʰrəi : gʰrī lit. gʰrei,*gʰrei̯-,gʰrei̯-,
692,gʰreib-,gʰreib,?*gʰrei̯bʰ-{1},gʰrei̯bʰ-,
693,1. gʰrem-,gʰrem,,,
694,2. gʰrem-,gʰrem,*gʰrem-,gʰrem-,
695,gʰren-,gʰren,*g(ʷ)ʰrend-{1},g(ʷ)ʰrend-,
696,gʰrendʰ-,gʰrendʰ,,,
697,1. gʰrēu- : gʰrəu- : gʰrū-,gʰrēu : gʰrəu : gʰrū,*gʰreh₁u̯-{1},gʰreh₁u̯-,
698,2. gʰrēu- : gʰrəu- : gʰrū-,gʰrēu : gʰrəu : gʰrū,,,
699,gʰroud-,gʰroud,,,
700,"gʷā-, gʷem-",gʷā gʷem,"*gʷeh₂-, *gʷem-","gʷeh₂-, gʷem-",
701,gʷā̆dʰ-,gʷā̆dʰ,"*g(ʷ)eg̑ʰ-{1}, *gʷeh₂dʰ-{1}","g(ʷ)eg̑ʰ-, gʷeh₂dʰ-",
702,"1. gʷēbʰ-, or gʷābʰ-?, gʷəbʰ-",gʷēbʰ or gʷābʰ gʷābʰ? gʷəbʰ,*gʷeh₂bʰ-{1},gʷeh₂bʰ-,
703,2. gʷēb(ʰ)-,gʷēb gʷēbʰ,,,
704,gʷedʰ-,gʷedʰ,,,
705,1. gʷei-,gʷei,,,
706,2. gʷei-,gʷei,,,
707,"3. gʷei̯-, and gʷei̯ə-",gʷei̯ gʷei̯ə,*gʷi̯eh₃-{1},gʷi̯eh₃-,
708,"gʷēi-, or gʷei̯ə- : gʷī-",gʷēi or gʷei̯ə : gʷī,,,
709,gʷeid(ʰ)-,gʷeid gʷeidʰ,,,
710,gʷei̯ə-,gʷei̯ə,"*gʷei̯-{1}, ?*g̑i̯eH-{1}","gʷei̯-, g̑i̯eH-",
711,1. gʷel-,gʷel,1.*gʷelH-{1},gʷelH-,
712,"2. gʷel-, gʷelə-, gʷlē-",gʷel gʷelə gʷlē,"2.*gʷelH-{1}, *gʷelh₁-{1}, ?*gʷelh₃-{1}","gʷelH-, gʷelh₁-, gʷelh₃-",
713,"3. gʷel-, gʷ<sub>e</sub>l-, gʷlā-",gʷel gʷel gʷlā,,,
714,gʷelbʰ-,gʷelbʰ,,,
715,gʷem-,gʷem,,,
716,gʷē̆nā,gʷē̆nā,,,
717,"1. gʷer-, gʷerə-",gʷer gʷerə,*gʷerh₃-,gʷerh₃-,
718,"2. gʷer-, gʷerə-, gʷerəu-, gʷerī-",gʷer gʷerə gʷerəu gʷerī,,,
719,"3. gʷer-, gʷor-",gʷer gʷor,,,
720,4. gʷer(ə)-,gʷer gʷerə,"*gʷerH-{1}, *g(ʷ)erdʰ-, *gerbʰ-","gʷerH-, g(ʷ)erdʰ-, gerbʰ-",
721,"ǵu̯er-, ǵu̯erə-",ǵu̯er ǵu̯erə,*g̑u̯elH-{1},g̑u̯elH-,
