,texas_root,web_root
1941,"su̯ento-, sunto-","su̯ento-,
sunto-, su̯ento-, sunto-"
1942,"1. su̯ep-, sup-","su̯ep-1,
sup-, su̯ep-1, sup-"
1943,"2. su̯ep-, sup-, su̯eb-","su̯ep-2,
sup-, su̯eb-, su̯ep-2, sup-, su̯eb-"
1944,"1. su̯er-, also ser-?","su̯er-1
(auch ser-?), su̯er-1 (auch ser-?)"
1945,2. su̯er-,"su̯er-2, su̯er-2"
1946,3. su̯er-,"su̯er-3, su̯er-3"
1947,4. su̯er-,"su̯er-4, su̯er-4"
1948,5. su̯er-,"su̯er-5, su̯er-5"
1949,"su̯erbh-, also su̯er-?","su̯erbh-
(auch su̯er-?), su̯erbh- (auch su̯er-?)"
1950,su̯ergh-,"su̯ergh-, su̯ergh-"
1951,su̯esor-,"su̯esor-, su̯esor-"
1952,su̯ī-,"su̯ī-,
-g-, -k-, -p-, su̯ī-, -g-, -k-, -p-"
1953,su̯omb(h)o-s,"su̯omb(h)o-s, su̯omb(h)o-s"
1954,su̯ordo-s,"su̯ordo-s, su̯ordo-s"
1955,"tā-, tə-, tāi-, təi-, tī̆-; [tāu-], təu-, tū̆-","tā-,
tə-; tāi-, təi-, tī̆-; [tāu-], təu-, tū̆-, tā-, tə-; tāi-, təi-, tī̆-; [tāu-], təu-, tū̆-"
1956,tād-,"tād-, tād-"
1957,"tag-, or teg- : tog- : teg-","tag-
(oder teg- : tog- : teg-), tag- (oder teg- : tog- : t↓↓e↓↓g-)"
1958,tāg-,"tāg-, tāg-"
1959,"tak-, takē(i)-","tak-,
takē(i)-, tak-, takē(i)-"
1960,tāl-,"tāl-, tāl-"
1961,1. tap-,"tap-1, tap-1"
1962,2. tap-,"tap-2, tap-2"
1963,"tata-, and similarly tē̆ta-","tata-, tē̆ta-
u. dgl., tata-, tē̆ta- u. dgl."
1964,taus-,"taus-, taus-"
1965,teg-,"teg-, teg-"
1966,"tēg-, təg-","tēg-,
təg-, tēg-, təg-"
1967,tegu-,"tegu-, tegu-"
1968,tei-,"tei-, tei-"
1969,teig-,"teig-, teig-"
1970,teigu̯-,"teigʷ-, teigʷ-"
1971,1. tek-,"tek-1, tek-1"
1972,2. tek-,"tek-2, tek-2"
1973,3. tek-,"tek-3, tek-3"
1974,tek̑þ-,"tek̂þ-, tek̂þ-"
1975,teku̯-,"tekʷ-, tekʷ-"
1976,"1. tel-, telə-, tlē(i)-, tlā-","tel-1,
telə-, tlē(i)-, tlā-, tel-1, telə-, tlē(i)-, tlā-"
1977,"2. tel-, telə-, telu-","tel-2,
telə-, telu-., tel-2, telə-, telu-"
1978,3. tel-,"tel-3, tel-3"
1979,4. tel-,"tel-4, tel-4"
1980,teleg̑h-,"teleĝh-, teleĝh-"
1981,telek-,"telek-, telek-"
1982,telp-,"telp-, telp-"
1983,"1. tem-, tend-","tem-1,
tend-, tem-1, tend-"
1984,2. tem-,"tem-2, tem-2"
1985,tem(ə)-,"tem(ə)-, tem(ə)-"
1986,temp-,"temp-, temp-"
1987,"1. ten-, tend-","ten-1,
tend-, ten-1, tend-"
1988,2. ten-,"ten-2, ten-2"
1989,tend-,"tend-, tend-"
1990,"tenəgos, tenəgos","tenəgos,
tenəgos, tenəgos, t↓↓e↓↓nəgos"
1991,1. teng-,"teng-1, teng-1"
1992,2. teng-,"teng-2, teng-2"
1993,tengh-,"tengh-, tengh-"
1994,1. tenk-,"tenk-1, tenk-1"
1995,2. tenk-,"tenk-2, tenk-2"
1996,tens-,"tens-, tens-"
1997,"tenu-s, tenu-s","tenu-s,
tenu-s, tenu-s, t↓↓e↓↓nu-s"
1998,tep-,"tep-, tep-"
1999,1. ter-,"ter-1, ter-1"
2000,"2. ter-, teru-","ter-2,
teru-, ter-2, teru-"
2001,"3. ter-, terə-, and teri-, trēi-, trī-, also teru- : treu-","ter-3,
terə- und teri-, trī-, ter-3, terə- und teri-, trī-"
2002,"4. ter-, terə- : tr̥̄-, trā-, teru-","ter-4,
terə- : tr̥̄-, trā-, teru-, ter-4, terə- : tr̥̄-, trā-, teru-"
2003,5. ter-,"ter-5, ter-5"
2004,6. ter-,"ter-6, ter-6"
2005,"7. ter-, terə-, terbh-, terd-, terg-, terp-","ter-7,
terə-, terbh-, terd- terg- terp-, ter-7, terə-, terbh-, terd- terg- terp-"
2006,"terd-, tred-","terd-,
tred-, terd-, tred-"
2007,tergu̯-,
2008,"terk-, trek-, tork-, trok-","terk-,
trek- (tork-, trok-), terk-, trek- (tork-, trok-)"
2009,"terp-, trep-","terp-,
trep-, terp-, trep-"
2010,ters-,"ters-, ters-"
2011,tet(e)r-,"tet(e)r-, tet(e)r-"
2012,"1. teu-, teud-, teug-, teuk-, teup-","teu-1,
teud-, teug-, teuk-, teup-, teu-1, teud-, teug-, teuk-, teup-"
2013,2. teu-,"teu-2, teu-2"
2014,"tēu-, təu-, teu̯ə-, tu̯ō-, tū̆-","tēu-,
təu-, teu̯ə-, tu̯ō-, tū̆-, tēu-, təu-, teu̯ə-, tu̯ō-, tū̆-"
2015,teuk-,"teuk-, teuk-"
2016,teup-,"teup-, teup-"
2017,teus-,"teus-, teus-"
2018,"teu̯ə-, tu̯ā-","teu̯ə-,
tu̯ā-, teu̯ə-, tu̯ā-"
2019,"ti-ti-, (ti)til-","ti-ti-,
(ti)til-, ti-ti-, (ti)til-"
2020,ti̯egu̯-,"ti̯egʷ-, ti̯egʷ-"
2021,"1. to-, tā-, ti̯o-","to-1,
tā-, ti̯o-, to-1, tā-, ti̯o-"
2022,2. to-,"to-2, to-2"
2023,tolku̯-,"tolkʷ-, tolkʷ-"
2024,"1. tong-, *teng-","tong-1
(*teng-), tong-1 (*teng-)"
2025,2. tong-,"tong-2, tong-2"
2026,top-,"top-, top-"
2027,"tor-, toro-s","tor-,
toro-s, tor-, toro-s"
2028,"trāgh-, trō̆gh-, and trē̆gh-","trāgh-,
trō̆gh- und trē̆gh-, trāgh-, trō̆gh- und trē̆gh-"
